Price,Pid,Property_name,Address
"4,000,000 / year",G9321,5 bedroom Duplex for rent Magodo Kosofe/Ikosi Lagos,"Idowu Akindele Crescent,Magodo GRA Magodo Kosofe Ikosi Lagos"
"2,000,000",G3093,3 bedroom Duplex for rent Magodo GRA Magodo Kosofe/Ikosi Lagos,"Off Abul Osagie,Magodo,Lagos Magodo GRA Magodo Kosofe Ikosi Lagos"
"1,500,000 / year",G8940,2 bedroom Flat / Apartment for rent Magodo Kosofe/Ikosi Lagos,"Off Bola Ogunsanya Str,Magodo GRA,Lagos Magodo Kosofe Ikosi Lagos"
"320,000",G7532,3 bedroom Flat / Apartment for rent Agric Ikorodu Lagos,"Sikiru Idris street off francis onajirin street Asolo,Agric,Lagos Agric Ikorodu Lagos"
"300,000",G2560,3 bedroom Flat / Apartment for rent Ikorodu Technical college Ikorodu Ikorodu Lagos,"Agbele ikoro str,behind Ikorodu Grammer sch,lagos Ikorodu Technical college Ikorodu Ikorodu Lagos"
"3,000,000",G2448,4 bedroom Duplex for rent Magodo Kosofe/Ikosi Lagos,"Off Abdul Quadri Rd,Magodo GRA,Lagos Magodo Kosofe Ikosi Lagos"
"500,000 / year",H1154,1 bedroom mini flat Flat / Apartment for rent Magodo Magodo Kosofe/Ikosi Lagos,"Wale Adenekan Str,magodo GRA,Lagos Magodo Magodo Kosofe Ikosi Lagos"
"350,000 / year",H2008,1 bedroom mini flat Flat / Apartment for rent Iwaya Yaba Lagos,off Iwaya road Iwaya Yaba Lagos
"1,800,000",H2007,2 bedroom Flat / Apartment for rent Itedo Lekki Phase 1 Lekki Lagos, off cash wash bustop Itedo Lekki Phase 1 Lekki Lagos
"3,500,000",F0605,3 bedroom Flat / Apartment for rent iru local government 1004 Victoria Island Lagos,"1004 estate,ademola adetokunbo, Victoria island lagos iru local government 1004 Victoria Island Lagos"
"800,000 / year",H2003,3 bedroom Flat / Apartment for rent CANAAN ESTATE Canaan Estate Ajah Lagos,"AGWU AMAECHI STREET,OFF LEKKI GARDEN PHASE1 ROAD CANAAN ESTATE Canaan Estate Ajah Lagos"
"1,700,000",H2002,3 bedroom Flat / Apartment for rent Alagomeji Alagomeji Yaba Lagos,Moleye Alagomeji Alagomeji Yaba Lagos
"1,200,000 / year",H1999,2 bedroom Flat / Apartment for rent Magodo Kosofe/Ikosi Lagos,"Kunle Ajagbe str Magodo GRA,Lagos Magodo Kosofe Ikosi Lagos"
"1,200,000 / year",G9220,3 bedroom Flat / Apartment for rent Sabo Yaba Lagos,Oyadiran Estate Sabo Yaba Lagos
"1,500,000 / year",G7874,3 bedroom Flat / Apartment for rent Alagomeji Yaba Lagos,Off Hughes Avenue Alagomeji Yaba Lagos
"5,000,000",H1996,2 bedroom Flat / Apartment for rent Shonibare Maryland Ikeja Lagos,Estate Shonibare Maryland Ikeja Lagos
"1,000,000",H1993,Office Space for rent Allen avenue Allen Avenue Ikeja Lagos,Ikeja Allen avenue Allen Avenue Ikeja Lagos
"850,000",H1992,3 bedroom Flat / Apartment for rent Grammar school Morgan estate Ojodu Lagos,Morgan Estate Grammar school Morgan Estate Ojodu Lagos
"800,000",H1991,2 bedroom Flat / Apartment for rent Off Ayo alabi estate Oke-Ira Ogba Lagos,Oke Ira Off Ayo alabi estate Oke Ira Ogba Lagos
"1,150,000",H1990,3 bedroom Flat / Apartment for rent Grammar school Morgan estate Ojodu Lagos,Morgan Estate Grammar school Morgan Estate Ojodu Lagos
"500,000 / year",H1989,3 bedroom Flat / Apartment for rent Oshodi Mafoluku Oshodi Lagos,Rashdi Abayomi street Oshodi Oshodi Mafoluku Oshodi Lagos
"1,200,000 / year",H1988,200.0 square meter Commercial Property for rent Egbeda Egbeda Alimosho Lagos,Egbeda Egbeda Egbeda Alimosho Lagos
"180,000 / year",H1987,"1 bedroom mini flat Self Contain for rent off bode thomas,surulere lagos mainland Bode Thomas Surulere Lagos","off bode thomas,surulere lagos mainland off bode thomas,surulere lagos mainland Bode Thomas Surulere Lagos"
"150,000 / year",H1986,"1 bedroom mini flat Self Contain for rent off bode thomas,surulere lagos mainland Bode Thomas Surulere Lagos","off bode thomas,surulere lagos mainland off bode thomas,surulere lagos mainland Bode Thomas Surulere Lagos"
"300,000 / year",H1985,"1 bedroom mini flat Flat / Apartment for rent off bode thomas,surulere lagos mainland Bode Thomas Surulere Lagos","off bode thomas,surulere lagos mainland off bode thomas,surulere lagos mainland Bode Thomas Surulere Lagos"
"1,100,000",H1984,3 bedroom Flat / Apartment for rent Oregun Oregun Ikeja Lagos,Oregun Oregun Oregun Ikeja Lagos
"600,000 / year",H1982,1 bedroom mini flat Flat / Apartment for rent Amuwo odofi Amuwo Odofin Amuwo Odofin Lagos,Lake view Amuwo odofi Amuwo Odofin Amuwo Odofin Lagos
"450,000 / year",H1981,2 bedroom Flat / Apartment for rent Palmgrove Shomolu Palmgroove Shomolu Lagos,Palmgrove Palmgrove Shomolu Palmgroove Shomolu Lagos
"1,300,000 / year",H1979,3 bedroom Duplex for rent Amuwo odofi Amuwo Odofin Amuwo Odofin Lagos,Lake view Amuwo odofi Amuwo Odofin Amuwo Odofin Lagos
"250,000 / year",H1977,1 bedroom mini flat Flat / Apartment for rent Oshodi Oshodi Expressway Oshodi Lagos,Sheinde calisto Oshodi Oshodi Expressway Oshodi Lagos
"800,000",H1976,3 bedroom Flat / Apartment for rent Onipetesi estate Mangoro Ikeja Lagos,Micheal Akinola street Onipetesi estate Mangoro Ikeja Lagos
"1,500,000 / year",H1971,2 bedroom Flat / Apartment for rent Coker Road Ilupeju Lagos,off Coker road Coker Road Ilupeju Lagos
"700,000",H1970,2 bedroom Flat / Apartment for rent Ajayi road Aguda(Ogba) Ogba Lagos,Odobo estate Ajayi road Aguda(ogba) Ogba Lagos
"450,000 / year",H1967,2 bedroom Flat / Apartment for rent Oluwalogbon street Ikosi-Ketu Kosofe/Ikosi Lagos,Oyefesho street ikosi ketu Oluwalogbon street Ikosi Ketu Kosofe Ikosi Lagos
"7,000,000 / year",H1965,5 bedroom Duplex for rent Ikeja GRA Ikeja Lagos,Ikeja G.R.A Ikeja Gra Ikeja Lagos
"850,000",H1963,3 bedroom Flat / Apartment for rent Millenium Estate Millenuim/UPS Gbagada Lagos,Millenium Estate Millenuim Ups Gbagada Lagos
"1,300,000 / year",H1962,1 bedroom mini flat Flat / Apartment for rent Sangotedo Ajah Lagos,No 1 Anthony Osahor Crescent Sangotedo Sangotedo Ajah Lagos
"400,000",H1960,1 bedroom mini flat Flat / Apartment for rent Soluyi Gbagada Lagos,Soluyi Gbagada Lagos
"600,000 / year",H1958,2 bedroom Flat / Apartment for rent Haruna Street Ogba OGBA GRA Ogba Lagos," Kayode Alabi Street, Off Haruna Street, Ogba, Ikeja, Lagos Haruna Street Ogba Ogba Gra Ogba Lagos"
"750,000",H1954,"2 bedroom Flat / Apartment for rent Taodak Estate, Off Yetunde Brown Soluyi Gbagada Lagos","Taodak Estate, Off Yetunde Brown Soluyi Gbagada Lagos"
"2,000,000 / year",H1952,1 bedroom mini flat Flat / Apartment for rent Shonibare Shonibare Estate Maryland Lagos,Estate Shonibare Shonibare Estate Maryland Lagos
"6,500,000 / year",H1950,2 bedroom Flat / Apartment for rent Ligali Ayorinde Victoria Island Lagos,Off Ligali Ayorinde Ligali Ayorinde Victoria Island Lagos
"800,000",H1948,3 bedroom Flat / Apartment for rent Deeper Life Church Ifako-gbagada Gbagada Lagos,Deeper Life Church Ifako Gbagada Gbagada Lagos
"6,500,000 / year",H1947,3 bedroom Flat / Apartment for rent Shonibare Estate Maryland Lagos,"shonibare estate, maryland Shonibare Estate Maryland Lagos"
"3,000,000",G8773,3 bedroom Duplex for rent Ikeja GRA Ikeja Lagos, off AKINJOBI Street Ikeja Gra Ikeja Lagos
"300,000 / year",H1945,1 bedroom mini flat Flat / Apartment for rent by chemist bus stop Ire Akari Isolo Lagos,Ireakari by chemist bus stop Ire Akari Isolo Lagos
"1,000,000",H1943,3 bedroom Flat / Apartment for rent Off ayodele Oke Owo Street Ifako-gbagada Gbagada Lagos,Off ayodele Oke Owo Street Ifako Gbagada Gbagada Lagos
"3,000,000",A7476,4 bedroom Duplex for rent Omole phase 1 Ojodu Ojodu Lagos,"Rashidi Barua Street, Omole phase 1 Ojodu Ojodu Lagos"
"1,300,000",H1941,3 bedroom Flat / Apartment for rent Josodat Estate Soluyi Gbagada Lagos,Josodat Estate Soluyi Gbagada Lagos
"400,000 / year",H1938,1 bedroom mini flat Flat / Apartment for rent Onike Yaba Lagos,Ajayi street Onike Yaba Lagos
"750,000 / year",H1936,2 bedroom Flat / Apartment for rent Onike Yaba Lagos,Ajayi street Onike Yaba Lagos
"1,000,000 / year",H1935,3 bedroom Flat / Apartment for rent Onike Yaba Lagos,Ajayi street Onike Yaba Lagos
"1,300,000 / year",F5318,2 bedroom Flat / Apartment for rent Ogudu GRA Kosofe Kosofe/Ikosi Lagos,Ogudu GRA Ogudu GRA Kosofe Kosofe Ikosi Lagos
"250,000 / year",G1572,Flat / Apartment for rent Ogudu-Orike Ogudu Lagos,orioke Ogudu Orike Ogudu Lagos
"350,000",G1570,1 bedroom mini flat Flat / Apartment for rent Ogudu Ogudu Lagos,Barrack Estate Ogudu Ogudu Lagos
"90,000 / sqm",E9827,1757.0 square meter Office Space for rent Ajose Adeogun Bonny Camp Victoria Island Lagos,Ajose Adeogun Ajose Adeogun Bonny Camp Victoria Island Lagos
"20,000 / sqm",E9829,Commercial Property for rent Onipanu Onipanu Shomolu Lagos,Onipanu Onipanu Onipanu Shomolu Lagos
"600,000 / year",H1929,3 bedroom Flat / Apartment for rent by aswani market Osolo way Isolo Lagos,by holy saviours college by aswani market Osolo Way Isolo Lagos
"1,000,000 / year",G9463,5 bedroom Duplex for rent Alapere Ketu Kosofe/Ikosi Lagos,Off Church Alapere Ketu Kosofe Ikosi Lagos
"1,000,000 / year",G5580,3 bedroom Flat / Apartment for rent Pedro Ifako-gbagada Gbagada Lagos,Mosholashi Pedro Ifako Gbagada Gbagada Lagos
"600,000",H1925,1 bedroom mini flat Flat / Apartment for rent Asa Estate Soluyi Gbagada Lagos,Asa Estate Soluyi Gbagada Lagos
"1,500,000 / year",G0432,3 bedroom Flat / Apartment for rent Medina estate Medina Gbagada Lagos,Adeola street Medina estate Medina Gbagada Lagos
"350,000 / year",H1924,1 bedroom mini flat Flat / Apartment for rent Lagos,off Bajulaiye road Obanikoro Shomolu Lagos
"350,000 / year",H1923,1 bedroom mini flat Flat / Apartment for rent Obanikoro Shomolu Lagos,off Bajulaiye road Obanikoro Shomolu Lagos
"300,000 / year",H1922,2 bedroom Flat / Apartment for rent Egbeda Alimosho Lagos,Gospel Ishasi Egbeda Alimosho Lagos
"700,000",H1920,2 bedroom Flat / Apartment for rent Alagomeji Yaba Lagos,Alagomeji Yaba Lagos
"600,000",G1074,2 bedroom Flat / Apartment for rent Deeper life church Soluyi Gbagada Lagos,Olabisi Osho Deeper life church Soluyi Gbagada Lagos
"200,000 / year",H1919,1 bedroom mini flat Flat / Apartment for rent Egbeda Alimosho Lagos,Iyana Ishasi Okokomaiko. Egbeda Alimosho Lagos
"30,000 / sqm","145,F8413",145.0 square meter Office Space for rent oniru new market Lekki Phase 1 Lekki Lagos,. oniru new market Lekki Phase 1 Lekki Lagos
"600,000",F9049,3 bedroom Flat / Apartment for rent Apple junction Amuwo Odofin Lagos,Ago palace way Apple Junction Amuwo Odofin Lagos
"4,000,000","175,H1913",Bungalow for rent Montgomery Road Sabo Yaba Lagos,Montgomery Road Sabo Yaba Lagos
"200,000 / year",H1912,1 bedroom mini flat Flat / Apartment for rent Shomolu Shomolu Lagos,off Bajulaiye road Shomolu Shomolu Lagos
"1,800,000 / year",G0943,3 bedroom Flat / Apartment for rent Jakande Lekki Lagos,Behind Shoprite Jakande Jakande Lekki Lagos
"350,000 / year",H1910,1 bedroom mini flat Flat / Apartment for rent Shomolu Shomolu Lagos,off Bajulaiye road Shomolu Shomolu Lagos
"1,500,000 / year",H1909,4 bedroom Flat / Apartment for rent Adelabu Surulere Lagos,off Babs Animasaun Adelabu Surulere Lagos
"250,000 / year",H1906,1 bedroom mini flat Flat / Apartment for rent Ipaja road Ipaja Lagos,Gospel Ishasi. Ipaja Road Ipaja Lagos
"750,000",G7971,3 bedroom Flat / Apartment for rent Kristabel Hotel Soluyi Gbagada Lagos,Kristabel Hotel Soluyi Gbagada Lagos
"2,000,000",H1904,1 bedroom mini flat Flat / Apartment for rent Lekki Phase 1 Lekki Lagos,Off Oniru Lekki Phase 1 Lekki Lagos
