Price,Pid,Property_name,Address
"60,000,000",E8657,5 bedroom Duplex for sale chevron Agungi Lekki Lagos, Agungi chevron Agungi Lekki Lagos
"40,000,000",E8654,894437.0 square meter Land for sale Oko oba Agege Lagos,Hainat agusto crescent Oko Oba Agege Lagos
"3,200,000",E8652,Land for sale Ayobo Ipaja Lagos,Olorunsola Ayobo Ipaja Lagos
"4,500,000",E8651,Land for sale Ayobo Ipaja Lagos,Ayobo Ayobo Ipaja Lagos
"10,000,000",E8648,4 bedroom Bungalow for sale Ayobo Ipaja Lagos,"Abiola Estate, Ayobo Ayobo Ipaja Lagos"
"97,000,000",E8646,5 bedroom Duplex for sale Chevy view Estate chevron Lekki Lagos,Chevy view Estate Chevy view Estate Chevron Lekki Lagos
"300,000,000",E8632,6 bedroom Duplex for sale Osapa london Lekki Lagos,Pinnock beach estate Osapa London Lekki Lagos
"1,350,000",E8631,648.0 square meter Land for sale isanwo Agric Ikorodu Lagos,"Off isanwo road, Agric bus/stop , Ikorodu, Lagos isanwo Agric Ikorodu Lagos"
"3,000,000 / sqm",E8628,600.0 square meter Land for sale Free Trade Zone Ibeju-Lekki Lagos,5 Minutes drive from dangote refinery Free Trade Zone Ibeju Lekki Lagos
"1,500,000",E8624,600.0 square meter Land for sale Eleranigbe Ibeju-Lekki Lagos,"Eleranigbe town, Ibeju lekki, off lekki-epe expressway lagos Eleranigbe Ibeju Lekki Lagos"
"48,000,000",E8607,4 bedroom House for sale Lekki Agungi Lekki Lagos,Atlantic view Estate Lekki Agungi Lekki Lagos
"15,000,000",E8606,3 bedroom Flat / Apartment for sale Igando Ikotun/Igando Lagos,ikotun road Igando Ikotun Igando Lagos
"15,000,000",E8605,Land for sale Ayobo Ipaja Lagos,Ayobo - Ipaja Road Ayobo Ipaja Lagos
"45,000,000",E8603,3 bedroom Flat / Apartment for sale Akoka Yaba Lagos,beside yaba technology quarters Akoka Yaba Lagos
"40,000,000",E8600,8 bedroom Commercial Property for sale Ayobo Ipaja Lagos,"Amule Ashipa Road, Ayobo Ayobo Ipaja Lagos"
"40,000,000",E8599,8 bedroom Commercial Property for sale Ayobo Ipaja Lagos,ayobo Ayobo Ipaja Lagos
"11,000,000",E8597,4 bedroom Flat / Apartment for sale Ayobo Ipaja Lagos, abiola farm estate Ayobo Ipaja Lagos
"55,000,000",E8587,3 bedroom Flat / Apartment for sale Lekki Phase 1 Lekki Lagos,Lekki Phase 1 Lekki Lagos
"50,000,000",E8584,5 bedroom Duplex for sale Ikota Lekki Lagos,ikota villa estate Ikota Lekki Lagos
"900,000",E8582,Land for sale Eleranigbe Ibeju-Lekki Lagos,off Lekki Epe expressway Eleranigbe Ibeju Lekki Lagos
"57,172,500",E8575,5 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,Lekki pearl estate Lekki Phase 1 Lekki Lagos
"45,980,000",E8571,4 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,Lekki pearl estate Lekki Phase 1 Lekki Lagos
"40,535,000",E8570,4 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,Lekki pearl estate Lekki Phase 1 Lekki Lagos
"30,855,000",E8568,3 bedroom Flat / Apartment for sale Lekki Phase 1 Lekki Lagos,Lekki pearl estate Lekki Phase 1 Lekki Lagos
"60,000,000",E8566,4 bedroom Duplex for sale Ikota Lekki Lagos,lekki Ikota Lekki Lagos
"45,000,000",E8548,4 bedroom House for sale chevron Lekki Lagos,chevy view estate Chevron Lekki Lagos
"85,000,000",E8540,5 bedroom Duplex for sale Ogudu-Orike Ogudu Lagos,Lagoon estate Ogudu Orike Ogudu Lagos
"130,000,000",E8536,4 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,lekki phase 1 Lekki Phase 1 Lekki Lagos
"100,000,000",E8521,5 bedroom Duplex for sale chevron Lekki Lagos,"Northern Foreshore Estate, Off Chevron drive, Lekki-Lagos. Chevron Lekki Lagos"
"1,600,000,000,000",E8516,10 bedroom Commercial Property for sale opebi Opebi Ikeja Lagos,Opebi opebi Opebi Ikeja Lagos
"350,000",E8507,1 bedroom mini flat Flat / Apartment for sale Bariga Shomolu Lagos,Bariga Bariga Shomolu Lagos
"60,000,000",E8506,3 bedroom Flat / Apartment for sale bamidele close on a plot off billing way Oregun Ikeja Lagos,behind 10 degree event center bamidele close on a plot off billing way Oregun Ikeja Lagos
"130,000,000",E8505,10 bedroom Duplex for sale Magodo Kosofe/Ikosi Lagos,Gateway Estate Magodo Kosofe Ikosi Lagos
